"VESTIGINGSNUMMER","url","PROVINCIE","BEVOEGD.GEZAG.NUMMER","BRIN.NUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER.TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM.CORRESPONDENTIEADRES","HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES","POSTCODE.CORRESPONDENTIEADRES","PLAATSNAAM.CORRESPONDENTIEADRES","NODAAL.GEBIED.CODE","NODAAL.GEBIED.NAAM","RPA.GEBIED.CODE","RPA.GEBIED.NAAM","WGR.GEBIED.CODE","WGR.GEBIED.NAAM","COROPGEBIED.CODE","COROPGEBIED.NAAM","ONDERWIJSGEBIED.CODE","ONDERWIJSGEBIED.NAAM","RMC.REGIO.CODE","RMC.REGIO.NAAM"
"03GP00",NA,"Noord-Brabant",40517,"03GP","Christelijke Basisschool De Open Hof","Philomenahof","27","4631 NM","HOOGERHEIDE",873,"WOENSDRECHT","Protestants-Christelijk",164660110,"www.openhof-hoogerheide.nl","Philomenahof","27","4631 NM","HOOGERHEIDE",64,"Bergen op Zoom",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03GR00","https://www.pcbshetmozaiek.nl/bestanden/documenten/712-schoolgids-het-mozaiek-17-18-definitief.pdf","Drenthe",40655,"03GR","Het Mozaiek","De Stok","4","7913 RE","HOLLANDSCHEVELD",118,"HOOGEVEEN","Protestants-Christelijk",528343291,"www.pcbshetmozaiek.nl","Postbus","30","7913 ZG","HOLLANDSCHEVELD",14,"Hoogeveen",5,"Zuid- en Midden-Drenthe",9,"Zuidwest-Drenthe",9,"Zuidwest-Drenthe",4,"Assen-Hoogeveen-Emmen",9,"Zuid-West Drenthe"
"03GR01",NA,"Drenthe",40655,"03GR","Het Mozaiek","Zuideropgaande","150","7913 TR","HOLLANDSCHEVELD",118,"HOOGEVEEN","Protestants-Christelijk",528361512,"                                                                                ","Postbus","30","7913 ZG","HOLLANDSCHEVELD",14,"Hoogeveen",5,"Zuid- en Midden-Drenthe",9,"Zuidwest-Drenthe",9,"Zuidwest-Drenthe",4,"Assen-Hoogeveen-Emmen",9,"Zuid-West Drenthe"
"03GT00","http://www.foareker.nl/images/Schoolgids_2017-2018_website_definitief.pdf","Friesland",42604,"03GT","Christelijke Basisschool De Foareker","Skoallestrjitte","19","8734 GL","EASTEREIN",140,"LITTENSERADIEL","Protestants-Christelijk",515332275,"www.foareker.nl","Skoallestrjitte","19","8734 GL","EASTEREIN",10,"Leeuwarden",4,"Fryslân",5,"Zuidwest-Friesland",4,"Noord-Friesland",3,"Friesland",5,"Zuid-West Friesland"
"03GW00","http://www.hoefer.nl/doc/schoolgids.2017-2018 (nieuwe versie).pdf","Limburg",83280,"03GW","PC Basisschool de hoefer","Kleine Steeg","11","6131 KJ","SITTARD",1883,"SITTARD-GELEEN","Protestants-Christelijk",464513149,"www.hoefer.nl","Postbus","227","6130 AE","SITTARD",78,"Sittard",32,"Westelijke Mijnstreek",40,"Westelijke Mijnstreek",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"03GW01",NA,"Limburg",83280,"03GW","PC Basisschool De Regenboog","Dunantstraat","11","6164 GM","GELEEN",1883,"SITTARD-GELEEN","Protestants-Christelijk",464745675,"                                                                                ","Dunantstraat","11","6164 GM","GELEEN",78,"Sittard",32,"Westelijke Mijnstreek",40,"Westelijke Mijnstreek",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"03HA00",NA,"Noord-Brabant",41228,"03HA","Rooms Katholieke Basisschool Emmaus","Dr Saal van Zwanenbergln","115","5384 BV","HEESCH",1721,"BERNHEZE","Rooms-Katholiek",412452239,"                                                                                ","Dr Saal van Zwanenbergln","115","5384 BV","HEESCH",72,"Oss",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"03HC00",NA,"Gelderland",76715,"03HC","Christelijke Basisschool","Kerkstraat","33","5313 AP","NIEUWAAL",297,"ZALTBOMMEL","Protestants-Christelijk",418561614,"                                                                                ","Kerkstraat","33","5313 AP","NIEUWAAL",32,"Zaltbommel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",12,"Noord-Noord-Brabant",15,"Rivierenland"
"03HF00","http://www.draaiendewieken.nl/bestanden/454200/1718-Schoolgids-Draaiende-Wieken.pdf","Limburg",41506,"03HF","Basisschool De Draaiende Wieken","Streekelsweg","6","6061 EL","POSTERHOLT",1669,"ROERDALEN","Rooms-Katholiek",475402865,"www.draaiendewieken.nl","Streekelsweg","6","6061 EL","POSTERHOLT",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"03HG00","http://www.bsdebongerd.nl/bestanden/466322/schoolgids-2017-2018-de-Bongerd.pdf","Limburg",50819,"03HG","Basisschool De Bongerd","De Bengele","2","6031 TZ","NEDERWEERT",946,"NEDERWEERT","Rooms-Katholiek",495632747,"www.bsdebongerd.nl","De Bengele","2","6031 TZ","NEDERWEERT",75,"Weert",30,"Weert",39,"Midden-Limburg",38,"Midden-Limburg",22,"Zuidoost-Noord-Brabant",38,"Gewest Limburg-Noord"
"03HL00",NA,"Limburg",23961,"03HL","Basisschool De Zjwiek","Pastoor Hanraetsstraat","9","6088 EH","ROGGEL",1640,"LEUDAL","Rooms-Katholiek",475491864,"                                                                                ","Pastoor Hanraetsstraat","9","6088 EH","ROGGEL",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"03HO00",NA,"Groningen",41025,"03HO","GBS Klim-op","Zuiderstraat","1","9991 CM","MIDDELSTUM",24,"LOPPERSUM","Gereformeerd vrijgemaakt",595551782,"www.vgponn.nl","Zuiderstraat","1","9991 CM","MIDDELSTUM",2,"Appingedam/Delfzijl",1,"Noord-Groningen",2,"Noord-Groningen en Eemsmond",2,"Delfzijl en omgeving",1,"Groningen en omstreken",2,"Noord-Groningen-Eemsmond"
"03HR00",NA,"Drenthe",41025,"03HR","Gereformeerd Basisschool De Cirkel","Prins Bernhardstraat","11","9402 AR","ASSEN",106,"ASSEN","Gereformeerd vrijgemaakt",592340155,"www.vgponn.nl","Postbus","41","9400 AA","ASSEN",11,"Assen",3,"Centraal-Groningen",7,"Noord- en Midden-Drenthe",7,"Noord-Drenthe",4,"Assen-Hoogeveen-Emmen",7,"Noord- en Midden Drenthe"
"03HS00",NA,"Friesland",42607,"03HS","Gereformeerde Basisschool Oranje Nassau","Linthorst Homanloane","5","9288 BA","KOOTSTERTILLE",59,"ACHTKARSPELEN","Gereformeerd vrijgemaakt",512331870,"                                                                                ","Linthorst Homanloane","5","9288 BA","KOOTSTERTILLE",10,"Leeuwarden",4,"Fryslân",6,"Friesland-Oost",4,"Noord-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"03HU00","http://www.rehobothsch.nl/docs/Schoolgids.pdf","Gelderland",24481,"03HU","Rehobothschool","Schoonbeekhof","53","3774 DA","KOOTWIJKERBROEK",203,"BARNEVELD","Reformatorisch",342441556,"www.rehobothsch.nl","Schoonbeekhof","53","3774 DA","KOOTWIJKERBROEK",35,"Amersfoort",10,"De Vallei",16,"Eem en Vallei",13,"Veluwe",10,"Harderwijk-Amersfoort",16,"Eem en Vallei"
"03HY00",NA,"Gelderland",24715,"03HY","Christelijke Basisschool Eben Haezer","Lindelaan","15","4043 MA","OPHEUSDEN",1740,"NEDER-BETUWE","Reformatorisch",488441457,"                                                                                ","Postbus","38","4043 ZG","OPHEUSDEN",31,"Tiel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",11,"Oostelijk Maas-Waalgebied",15,"Rivierenland"
"03HZ00",NA,"Gelderland",41424,"03HZ","Ds Derksenschool","Donkerstraat","3","4119 LX","RAVENSWAAIJ",214,"BUREN","Protestants-Christelijk",345558497,"                                                                                ","Donkerstraat","3","4119 LX","RAVENSWAAIJ",31,"Tiel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",11,"Oostelijk Maas-Waalgebied",15,"Rivierenland"
"03IB00",NA,"Friesland",42604,"03IB","Christelijke Basisschool De Reinboge","Waltaweg","29","8765 LM","TJERKWERD",1900,"SUDWEST-FRYSLAN","Protestants-Christelijk",515579813,"www.cbo-wunseradiel.nl","Waltaweg","29","8765 LM","TJERKWERD",9,"Sneek",4,"Fryslân",5,"Zuidwest-Friesland",5,"Zuidwest-Friesland",3,"Friesland",5,"Zuid-West Friesland"
"03IH00","http://www.kmsbussum.nl/attachments/article/49/KMS Schoolgids ALGEMEEN DEEL 2014-2018.pdf","Noord-Holland",25664,"03IH","Katholieke Basisschool Montessorischool","J.J.H. Verhulstlaan","13","1401 CS","BUSSUM",1942,"GOOISE MEREN","Rooms-Katholiek",356911011,"www.kmsbussum.nl","J.J.H. Verhulstlaan","13","1401 CS","BUSSUM",45,"Hilversum",16,"Gooi en Vechtstreek",20,"Gooi en Vechtstreek",24,"Het Gooi en Vechtstreek",15,"Zuid-Noord-Holland",20,"Gooi en Vechtstreek"
"03IV00","https://sintjozef.kerobei.nl/content/SintJozef/docs/Schoolgids_bij_kalender_2017-2018.pdf","Limburg",75597,"03IV","Basisschool St Jozef","Grotestraat","142","5931 CZ","TEGELEN",983,"VENLO","Rooms-Katholiek",773260855,"www.sintjozef.kerobei.nl","Postbus","3131","5930 AC","TEGELEN",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03IY00","https://www.kennedy-bs.nl/images/Definitieve_Schoolgids_JFK_2016-2017.pdf","Limburg",41373,"03IY","Basisschool Jf Kennedy","Keurmeestersdreef","129","6216 ED","MAASTRICHT",935,"MAASTRICHT","Rooms-Katholiek",433440500,"www.kennedy-bs.nl","Keurmeestersdreef","129","6216 ED","MAASTRICHT",80,"Maastricht",34,"Maastricht Mergelland",42,"Maastricht en Mergelland",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"03IZ00","http://www.vitusschool.nl/bestanden/457043/Schoolgids-2017-2018.pdf","Limburg",37663,"03IZ","Basisschool St Vitus","Kasteellaan","23","5855 AD","WELL L",893,"BERGEN LB","Rooms-Katholiek",478501155,"www.vitusschool.nl","Kasteellaan","23","5855 AD","WELL L",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03JB00",NA,"Noord-Brabant",26977,"03JB","Kindcentrum Platijn","Johannes Vermeerstraat","21","5684 AT","BEST",753,"BEST","Algemeen bijzonder",499375750,"www.deschakelbest.nl","Johannes Vermeerstraat","21","5684 AT","BEST",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"03JC00","http://www.johnfkennedy.nl/wp-content/uploads/sites/6/2014/06/Schoolgids-2017-2018.pdf","Noord-Brabant",41407,"03JC","Kbs John F Kennedy","Molstraat","34","4826 KA","BREDA",758,"BREDA","Rooms-Katholiek",765874742,"www.johnfkennedy.nl","Molstraat","34","4826 KA","BREDA",66,"Breda",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03JD00",NA,"Gelderland",40945,"03JD","Gereformeerde Basisschool Pieter Jongeling","Zijpendaalseweg","163","6814 CJ","ARNHEM",202,"ARNHEM","Gereformeerd vrijgemaakt",264423329,"                                                                                ","Postbus","315","6800 AH","ARNHEM",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"03JH00",NA,"Noord-Brabant",74049,"03JH","Kindcentrum Het IJzeren Kind","Vincent van Goghlaan","28","5246 GB","ROSMALEN",796,"S HERTOGENBOSCH","Rooms-Katholiek",738225100,"                                                                                ","Vincent van Goghlaan","28","5246 GB","ROSMALEN",69,"'s-Hertogenbosch",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"03JI00",NA,"Gelderland",76806,"03JI","Rooms Katholieke Basisschool Gerardus Majella","Boxhofstede","17","8171 KC","VAASSEN",232,"EPE","Rooms-Katholiek",578571786,"                                                                                ","Boxhofstede","17","8171 KC","VAASSEN",27,"Apeldoorn",9,"Stedendriehoek",11,"Stedendriehoek",13,"Veluwe",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"03JL00","http://mobilecms.blob.core.windows.net/appfiles/app_923/GenericList/schoolgids_17-18_definitief.pdf","Limburg",41516,"03JL","Basischool Titus Brandsma","De Gasperistraat","5","6441 JJ","BRUNSSUM",899,"BRUNSSUM","Rooms-Katholiek",455251666,"www.bstitusbrandsma.nl","De Gasperistraat","5","6441 JJ","BRUNSSUM",79,"Heerlen",33,"Parkstad Limburg",41,"Oostelijk Zuid-Limburg",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"03JP00","https://bstalente.nl/wp-content/uploads/2016/12/Informatiegids-Borgesiusstichting-2017-2018.pdf","Noord-Brabant",31017,"03JP","Basisschool Talente","Schoolstraat","2","4751 CN","OUD GASTEL",1655,"HALDERBERGE","Rooms-Katholiek",165511695,"www.bstalente.nl","Postbus","16","4750 AA","OUD GASTEL",65,"Roosendaal en Nispen",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03JQ00","https://www.bs-harlekijn.nl/bestanden/463042/2017-2018-Schoolgids-Harlekijn-definitef.pdf","Limburg",23961,"03JQ","Basisschool Harlekijn","Dorpstraat","51","6095 AG","BAEXEM",1640,"LEUDAL","Rooms-Katholiek",475451624,"www.bs-harlekijn.nl","Dorpstraat","51","6095 AG","BAEXEM",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"03JS00","http://www.vrijeschooldezonnewende.nl/userfiles/file/2016-2017/Schoolgids_De_Zonnewende_2015-2019.pdf","Gelderland",28212,"03JS","Vrije school De Zonnewende","Valckstraat","30","7203 GC","ZUTPHEN",301,"ZUTPHEN","Antroposofisch",575516380,"www.vrijeschooldezonnewende.nl","Valckstraat","30","7203 GC","ZUTPHEN",23,"Zutphen",9,"Stedendriehoek",11,"Stedendriehoek",14,"Achterhoek",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"03JW00","https://eaborgerschool-meilan.nl/friksbeheer/wp-content/uploads/2015/11/schoolgids-2017-2018-.....pdf","Friesland",42540,"03JW","Dr EA Borgerschool","Koningin Julianalaan","3","8501 HL","JOURE",1940,"DE FRYSKE MARREN","Protestants-Christelijk",513414282,"www.eaborgerschool.nl","Postbus","36","8500 AA","JOURE",8,"Heerenveen",4,"Fryslân",5,"Zuidwest-Friesland",5,"Zuidwest-Friesland",3,"Friesland",5,"Zuid-West Friesland"
"03JX00",NA,"Limburg",42669,"03JX","Katholieke basisschool de Den","Burgemeester Beckersweg","45","6261 NX","MHEER",1903,"EIJSDEN-MARGRATEN","Rooms-Katholiek",434571516,"                                                                                ","Burgemeester Beckersweg","45","6261 NX","MHEER",80,"Maastricht",34,"Maastricht Mergelland",42,"Maastricht en Mergelland",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"03KF00","https://www.jozefschool.net/wp-content/uploads/Schoolgids_jozefschool_2015_klein.pdf","Noord-Holland",28849,"03KF","Jozefschool Rooms Katholiek Basisonderwijs","Gerberastraat","2","1431 SG","AALSMEER",358,"AALSMEER","Rooms-Katholiek",297326291,"www.jozefschool.net","Gerberastraat","2","1431 SG","AALSMEER",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"03KI00","https://www.hetbosschehart.nl/bestanden/468254/schoolgids-2017-2018.pdf","Noord-Brabant",31017,"03KI","Basisschool 't Bossche Hart","Mgr. Hopmanshof","2","4744 BX","BOSSCHENHOOFD",1655,"HALDERBERGE","Rooms-Katholiek",165312756,"www.hetbosschehart.nl","Mgr. Hopmanshof","2","4744 BX","BOSSCHENHOOFD",65,"Roosendaal en Nispen",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03KJ00",NA,"Limburg",41018,"03KJ","Gemma School","Noordervaartlaan","45","5916 SR","VENLO",983,"VENLO","Rooms-Katholiek",773511319,"www.gemmaschool.nl","Noordervaartlaan","45","5916 SR","VENLO",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03KP00","http://users.qlictonline.nl/vcpong_koningwillemalexander/docs/Schoolgids%20%20cbs%20KWA%202015-2019.pdf","Groningen",41261,"03KP","Christelijke Basisschool Koning Willem-Alexander","Wilgenhof","36","9981 KJ","UITHUIZEN",1651,"EEMSMOND","Protestants-Christelijk",595432136,"www.koningwa.vcpong.nl","Wilgenhof","36","9981 KJ","UITHUIZEN",1,"Groningen",1,"Noord-Groningen",2,"Noord-Groningen en Eemsmond",3,"Overig Groningen",1,"Groningen en omstreken",2,"Noord-Groningen-Eemsmond"
"03KR00",NA,"Groningen",41025,"03KR","Basisschool De Lichtbron","Donker Curtiusstraat","2","9602 PK","HOOGEZAND",18,"HOOGEZAND-SAPPEMEER","Gereformeerd vrijgemaakt",598323372,"www.vgponn.nl/hoogezand","Donker Curtiusstraat","2","9602 PK","HOOGEZAND",3,"Hoogezand-Sappemeer",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"03KS00",NA,"Gelderland",76806,"03KS","RK Basissch C v Leeuwen","Huygenslaan","59","6961 ZE","EERBEEK",213,"BRUMMEN","Rooms-Katholiek",313651776,"                                                                                ","Huygenslaan","59","6961 ZE","EERBEEK",23,"Zutphen",9,"Stedendriehoek",11,"Stedendriehoek",14,"Achterhoek",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"03KT00",NA,"Flevoland",41632,"03KT","De Planthof","De Fjord","44","8303 HL","EMMELOORD",171,"NOORDOOSTPOLDER","Gereformeerd vrijgemaakt",527614823,"www.gbs-deplanthof.nl","Postbus","76","8300 AB","EMMELOORD",17,"Noordoostpolder",15,"Flevoland",18,"Flevoland",40,"Flevoland",5,"Zwolle-Meppel en omstreken",18,"Flevoland"
"03LA00","http://www.sint-petrusschool.nl/images/Schoolgids_2015-2016/Schoolgids2016-2017-web2.pdf","Noord-Holland",29863,"03LA","Sint-Petrusschool","Ouddiemerlaan","106-108","1111 HL","DIEMEN",384,"DIEMEN","Rooms-Katholiek",206981832,"www.sint-petrusschool.nl","Ouddiemerlaan","106-108","1111 HL","DIEMEN",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"03LC00",NA,"Drenthe",41052,"03LC","Christelijke Basisschool De Fontein","Westrupstraat","10","7841 AZ","SLEEN",109,"COEVORDEN","Protestants-Christelijk",591361910,"www.fonteinsleen.nl","Westrupstraat","10","7841 AZ","SLEEN",13,"Coevorden/Dalen",5,"Zuid- en Midden-Drenthe",8,"Zuidoost-Drenthe",8,"Zuidoost-Drenthe",4,"Assen-Hoogeveen-Emmen",8,"Zuid-Oost Drenthe"
"03LD00",NA,"Limburg",41692,"03LD","Basisschool Neel","Dominicushof","5","6042 NG","ROERMOND",957,"ROERMOND","Rooms-Katholiek",475322372,"www.bs-neel.nl","Dominicushof","5","6042 NG","ROERMOND",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"03LE00","http://www.steenenbrug.nl/bestanden/466713/schoolgids-17-18.pdf","Limburg",41692,"03LE","Basisschool De Steenen Brug","Bisschop Lindanussingel","41","6041 LV","ROERMOND",957,"ROERMOND","Rooms-Katholiek",475316536,"www.steenenbrug.nl","Bisschop Lindanussingel","41","6041 LV","ROERMOND",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"03LK00",NA,"Gelderland",50129,"03LK","Kindcentrum De Oersprong","Wilgenstraat","6","7071 KS","ULFT",1509,"OUDE IJSSELSTREEK","Rooms-Katholiek",315769072,"www.oersprong-ulft.nl","Wilgenstraat","6","7071 KS","ULFT",25,"Doetinchem",12,"Achterhoek",13,"Oost-Gelderland",14,"Achterhoek",8,"Zuidelijke Achterhoek",13,"Achterhoek"
"03LN00",NA,"Gelderland",31189,"03LN","Wittenberg-school","Hovenierslaan","17","3925 BW","SCHERPENZEEL GLD",279,"SCHERPENZEEL","Reformatorisch",332778426,"                                                                                ","Postbus","58","3925 ZH","SCHERPENZEEL GLD",35,"Amersfoort",10,"De Vallei",16,"Eem en Vallei",13,"Veluwe",10,"Harderwijk-Amersfoort",16,"Eem en Vallei"
"03LR00","http://www.remmeltbooy.pentaprimair.nl/qsites/files/000001904/schoolgids/Schoolgids 2016 2017.pdf","Groningen",41571,"03LR","CBS Remmelt Booy","Terpstrastraat","12","9863 PV","DOEZUM",15,"GROOTEGAST","Protestants-Christelijk",594613743,"www.remmeltbooy.pentaprimair.nl","Terpstrastraat","12","9863 PV","DOEZUM",1,"Groningen",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"03LT00",NA,"Gelderland",47100,"03LT","St Nicolaasschool","Antoinette v Pinxterenln","4","6532 CW","NIJMEGEN",268,"NIJMEGEN","Rooms-Katholiek",243555276,"www.sint-nicolaasschool.nl","Antoinette v Pinxterenln","4","6532 CW","NIJMEGEN",30,"Nijmegen",13,"Nijmegen",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",11,"Oostelijk Maas-Waalgebied",14,"Arnhem/Nijmegen"
"03LY00","http://www.deleuksteschoolvannederland.nl/images/schoolgids%202015-2019%20definitief%20-%20automatisch%20inhoudsopgave.pdf","Noord-Brabant",32203,"03LY","Rooms Katholieke Basisschool Laurentius","van Gaverenlaan","18","4835 CD","BREDA",758,"BREDA","Rooms-Katholiek",765640755,"www.deleuksteschoolvannederland.nl","van Gaverenlaan","18","4835 CD","BREDA",66,"Breda",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03MA00",NA,"Noord-Brabant",48348,"03MA","Basissch Klimop","Clarastraat","1","5366 AK","MEGEN",828,"OSS","Rooms-Katholiek",412462311,"www.klimopmegen.nl","Clarastraat","1","5366 AK","MEGEN",72,"Oss",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"03MF00",NA,"Gelderland",35297,"03MF","Basisschool Rehoboth","Het Drie","21-23","3888 KD","UDDEL",200,"APELDOORN","Reformatorisch",577401424,"                                                                                ","Het Drie","21-23","3888 KD","UDDEL",27,"Apeldoorn",9,"Stedendriehoek",11,"Stedendriehoek",13,"Veluwe",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"03MH00",NA,"Noord-Brabant",73712,"03MH","Basisschool Petrus en Paulus","Valkenbergstraat","23","5466 RS","VEGHEL",1948,"MEIERIJSTAD","Rooms-Katholiek",413364674,"www.petrusenpaulusskipov.nl","Postbus","358","5460 AJ","VEGHEL",71,"Uden",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"03MK00",NA,"Noord-Brabant",40971,"03MK","Basisschool Berkeloo","Hazelaarlaan","32-34","5056 XN","BERKEL-ENSCHOT",855,"TILBURG","Rooms-Katholiek",135331144,"www.berkeloo.nl","Postbus","58","5056 ZH","BERKEL-ENSCHOT",68,"Tilburg",26,"Midden-Brabant",35,"Midden-Brabant",34,"Midden-Noord-Brabant",21,"Tilburg en omstreken",35,"Midden-Brabant"
"03MO00","http://stemarie.yourmonitor.eu/documents/stemarie-kalender-schoolgids2017-2018-samen-lr.pdf","Noord-Brabant",40517,"03MO","Rooms Katholieke Basisschool Sint Marie","Boomstraat","5","4635 CX","HUIJBERGEN",873,"WOENSDRECHT","Rooms-Katholiek",164642525,"www.basisschoolstemarie.nl","Boomstraat","5","4635 CX","HUIJBERGEN",64,"Bergen op Zoom",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
